Code;IMVC
S1_A_NEU_1;787
S1_A_NEU_2;708
S1_A_NEU_3;706
S1_A_NEU_4;692
S3_C_NEU_1;1083
S3_C_NEU_2;1035
S3_C_NEU_3;992
S3_C_NEU_4;1012
S5_A_NEU_1;884
S5_A_NEU_2;846
S5_A_NEU_3;891
S5_A_NEU_4;942
S6_C_NEU_1;904
S6_C_NEU_2;899
S6_C_NEU_3;947
S6_C_NEU_4;931
S8_A_NEU_1;1075
S8_A_NEU_2;942
S8_A_NEU_3;944
S8_A_NEU_4;961
S9_C_NEU_1;816
S9_C_NEU_2;835
S9_C_NEU_3;926
S9_C_NEU_4;819
S10_C_NEU_1;893
S10_C_NEU_2;791
S10_C_NEU_3;804
S10_C_NEU_4;774
S11_A_NEU_1;1204
S11_A_NEU_2;1141
S11_A_NEU_3;1255
S11_A_NEU_4;1270
S13_C_NEU_1;1067
S13_C_NEU_2;968
S13_C_NEU_3;942
S13_C_NEU_4;987
S14_C_NEU_1;746
S14_C_NEU_2;675
S14_C_NEU_3;745
S14_C_NEU_4;767
S15_A_NEU_1;718
S15_A_NEU_2;600
S15_A_NEU_3;665
S15_A_NEU_4;661
S16_A_NEU_1;701
S16_A_NEU_2;760
S16_A_NEU_3;762
S16_A_NEU_4;809
S17_C_NEU_1;665
S17_C_NEU_2;733
S17_C_NEU_3;660
S17_C_NEU_4;784
S18_A_NEU_1;801
S18_A_NEU_2;825
S18_A_NEU_3;889
S18_A_NEU_4;903
S19_A_NEU_1;529
S19_A_NEU_2;425
S19_A_NEU_3;430
S19_A_NEU_4;512
S20_A_NEU_1;1219
S20_A_NEU_2;1166
S20_A_NEU_3;1139
S20_A_NEU_4;1162
S21_A_NEU_1;812
S21_A_NEU_2;871
S21_A_NEU_3;827
S21_A_NEU_4;928
S22_C_NEU_1;691
S22_C_NEU_2;628
S22_C_NEU_3;571
S22_C_NEU_4;633
S23_A_NEU_1;812
S23_A_NEU_2;686
S23_A_NEU_3;722
S23_A_NEU_4;694
S24_C_NEU_1;692
S24_C_NEU_2;557
S24_C_NEU_3;602
S24_C_NEU_4;578
S25_C_NEU_1;1068
S25_C_NEU_2;881
S25_C_NEU_3;950
S25_C_NEU_4;959
S26_C_NEU_1;551
S26_C_NEU_2;455
S26_C_NEU_3;490
S26_C_NEU_4;439